Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg),Vitamin B12 (mg),Copper (mg),Selenium (mg),Vitamin D (mg),Zinc (mcg),Iron (g),Phosphorus (mcg)
Dutch Apple Yogurt Dessert,123,2,0,1,55,24,1,21,4,0,104,0,230,1,0,0,0,0,0,116,22,99,2,1,2,0.1,0.3,1,1,1,10,0.1,0.1,0,13,0,0,0,0,0,0,0
Eagle Nest,143,1,0,3,102,32,2,25,4,0,32,1,195,0,0,0,0,0,0,115,11,68,3,0,51,0,0.1,1,2,4,16,0.1,0.1,1,11,0,0,0,0,0,0,0
Easy and Healthy Black Bean Soup,342,3,1,5,918,60,19,3,22,0,170,7,1269,1,1,0,0.2,0,0,699,122,402,4,2,30,0.3,0.1,1,3,12,193,0.5,0.2,4,86,0,0,0,0,0,0,0
Easy Beef Supper,390,12,5,51,394,46,9,10,25,0,97,5,958,4,1,1,0.1,2,1,380,73,278,26,5,39,0.6,0,49,2,13,117,0.4,0.3,6,89,1600,0,0,0,0,0,0
Easy Chicken and Dumplings,237,4,1,66,789,24,1,1,26,0,101,2,407,1,1,0,0,3,4,138,29,263,32,1,15,0.6,0.3,0,0,0,89,0.3,0.3,10,61,0,0,0,0,0,0,0
Easy Chicken Pot Pie,189,4,1,55,716,26,3,5,13,0,86,2,256,1,1,0,0,0,0,0,29,254,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Easy Eggplant Stir Fry,179,2,0,0,110,37,6,9,5,0,47,1,595,1,1,1,0.1,0,0,249,74,152,10,1,43,0.5,0,53,1,14,50,0.2,0.1,3,27,0,0,0,0,0,0,0
Easy Fried Rice,340,9,2,126,228,46,5,2,19,1,50,2,329,3,3,2,0.2,1,17,248,97,295,36,2,143,0.6,0.3,3,1,31,34,0.2,0.3,6,126,0,0,0,0,0,0,0
Easy Fruit Salad,64,0,0,1,10,15,2,12,1,0,34,0,173,0,0,0,0,0,0,59,12,30,1,0,9,0.1,0.1,13,0,1,12,0,0.1,0,8,0,0,0,0,0,0,0
Easy Greek Salad,79,6,2,7,277,4,1,2,2,0,62,0,169,4,1,1,0.1,0,0,66,13,49,1,0,57,0.1,0.1,8,1,35,31,0.1,0.1,0,7,0,0,0,0,0,0,0
Easy Lentil Soup,202,4,1,0,353,29,10,5,14,0,54,4,730,3,1,0,0.1,0,0,411,49,272,4,2,162,0.3,0.1,9,1,8,205,0.4,0.2,4,47,0,0,0,0,0,0,0
Easy Mango Salsa,37,0,0,0,2,9,1,8,1,0,12,0,123,0,0,0,0,0,0,73,7,12,0,0,32,0.1,0,30,1,11,26,0,0,0,5,0,0,0,0,0,0,0
Easy Marinara Sauce,35,1,0,0,28,7,2,4,1,0,54,1,310,0,0,0,0.1,0,0,96,23,33,0,0,116,0.2,0,14,1,54,33,0.1,0.1,1,11,0,0,0,0,0,0,0
Easy No-Cook Salsa,30,0,0,0,243,7,3,4,1,0,58,1,308,0,0,0,0,0,0,107,16,29,1,0,33,0.2,0,28,1,16,27,0.8,0.1,1,11,0,0,0,0,0,0,0
Easy Oven Packet Caribbean Tilapia with Pears and Carnival Roasted Potatoes,380,8,2,55,220,54,8,17,28,3,63,3,1298,5,1,1,0.1,4,106,394,85,296,45,1,20,0.7,1.5,72,2,19,58,0.3,0.2,6,76,0,0,0,0,0,0,0
Easy Red Beans and Rice,232,2,0,0,127,47,8,4,8,0,64,2,453,1,1,1,0.1,0,0,303,92,198,16,1,23,0.4,0,26,1,8,64,0.8,0.1,3,33,0,0,0,0,0,0,0
Easy Rice Pudding,237,1,1,4,57,51,1,22,6,1,132,1,315,0,0,0,0,0,0,143,29,141,9,1,69,0.1,0.3,1,0,1,92,0.2,0.2,2,18,0,0,0,0,0,0,0
Easy Stuffed Pasta Shells,250,7,3,18,334,29,4,7,16,0,268,2,461,2,1,1,0.2,0,0,201,59,259,26,1,238,0.3,0.7,2,3,162,121,0.2,0.3,5,33,0,0,0,0,0,0,0
Easy-As-A-Mix Pizza (from Better Baking Mix),163,13,4,16,314,4,1,2,8,0,219,0,133,4,3,3,0.5,0,0,37,14,160,5,1,55,0.1,0.7,1,2,13,8,0,0.1,1,9,0,0,0,0,0,0,0
Eating Smart Seasoning Mix,17,0,0,1,19,3,0,2,1,0,46,0,81,0,0,0,0,0,0,9,6,38,1,0,24,0,0.1,1,0,1,4,0,0.1,0,7,0,0,0,0,0,0,0
Eggplant and Pepper Dip,63,4,0,0,76,7,3,4,1,0,17,1,247,1,2,1,0.2,0,0,71,16,29,0,0,48,0.2,0,41,1,11,32,0.1,0.1,1,7,0,0,0,0,0,0,0
Eggs over Kale and Sweet Potato Grits,280,9,2,185,410,38,4,7,12,1,150,3,579,3,3,1,0.1,2,16,636,53,236,22,1,695,0.4,0.9,24,1,244,104,0.3,0.5,2,130,0,0,0,0,0,0,0
Elaine’s Green-Mash Potatoes,176,3,1,1,0,34,4,4,5,0,55,1,549,1,1,1,0.2,0,0,269,37,106,2,1,69,0.4,0.2,13,1,11,27,0.2,0.1,2,30,0,0,0,0,0,0,0
Enchilada Bake,189,5,2,6,455,30,7,3,8,0,111,2,396,2,1,1,0.2,0,0,206,52,203,4,1,30,0.2,0.1,8,1,8,58,0.2,0.1,1,27,0,0,0,0,0,0,0
Enchilada Casserole,370,9,5,19,631,56,9,7,18,0,340,3,608,3,2,0,0,0,0,322,111,440,17,3,92,0.5,0.3,18,1,12,47,0.2,0.3,4,47,0,0,0,0,0,0,0
Enchilada Rice,267,10,5,57,219,24,2,2,20,0,88,2,334,4,1,1,0.1,0,0,143,52,253,20,5,25,0.4,1.8,4,0,1,28,0.1,0.2,5,63,0,0,0,0,0,0,0
English Muffin Veggie Pizza,220,5,2,8,576,34,4,5,11,0,249,3,392,1,0,0,0.1,0,0,182,36,179,16,1,0,0.2,0.4,28,0,33,101,0.4,0.3,3,25,0,0,0,0,0,0,0
European Salad,240,9,1,45,450,21,4,9,20,0,80,3,79,5,2,1,0.2,8,17,234,71,261,24,2,245,0.7,0,150,2,181,122,0.2,0.2,13,92,0,0,0,0,0,0,0
Eve’s Tasty Turkey Tetrazzini,353,11,4,61,420,35,6,5,31,1,125,3,475,4,2,2,0.1,3,3,381,80,383,48,3,87,0.7,0,2,2,8,54,0.3,0.5,11,85,900,0,0,0,0,0,0
